# Result analyzer ver. 1.0.5
# Input file : pc_rta.result
# Cumulative thermal conductivity at temperature 300 K.
# mode range 1 15
# Each phonon contribute to the total thermal conductivity if
# (v_x)^2+(v_y)^2+(v_z)^2 < L^2 is satisfied.
# L [nm], kappa [W/mK] (xx, xy, ...)
              0              0              0              0              0              0              0              0              0              0
            3.7       0.295518    5.62914e-14    3.20143e-15    5.62916e-14       0.295518   -6.27396e-16    3.20153e-15   -6.27475e-16       0.295518
            3.8       0.307313    5.50969e-14      1.147e-14    5.50973e-14       0.307313   -7.94724e-15    1.14701e-14   -7.94739e-15       0.307313
            3.9       0.322016    5.79771e-14    8.05325e-15    5.79775e-14       0.322016    4.39832e-15    8.05331e-15    4.39832e-15       0.322016
              4       0.330477    5.08181e-14    7.73525e-15    5.08184e-14       0.330477      6.094e-15    7.73535e-15    6.09384e-15       0.330477
            4.1        0.33951    4.63368e-14    8.69032e-15    4.63371e-14        0.33951    9.31322e-17    8.69046e-15    9.32114e-17        0.33951
            4.2       0.346157    4.32955e-14    5.88711e-15    4.32958e-14       0.346157    1.55639e-16    5.88725e-15    1.55639e-16       0.346157
            4.3       0.352023    4.51936e-14    7.17202e-15    4.51941e-14       0.352023   -2.09159e-15    7.17216e-15   -2.09159e-15       0.352023
            4.4       0.362225    4.45878e-14    9.05725e-15    4.45884e-14       0.362225   -6.11949e-15    9.05735e-15   -6.11957e-15       0.362225
            4.5        0.37721    4.15321e-14     7.7841e-15    4.15325e-14        0.37721   -5.63172e-15    7.78415e-15   -5.63188e-15        0.37721
            4.6       0.395898    4.29531e-14    1.42884e-14    4.29532e-14       0.395898    2.27731e-16    1.42885e-14    2.27731e-16       0.395898
            4.7       0.422593    5.11185e-14    1.45026e-14    5.11189e-14       0.422593    1.02986e-15    1.45027e-14     1.0297e-15       0.422593
            4.8        0.42711    5.33488e-14    1.33113e-14    5.33491e-14        0.42711      4.365e-15    1.33114e-14    4.36484e-15        0.42711
            4.9       0.431287    5.15601e-14    1.46337e-14    5.15605e-14       0.431287    7.65812e-15    1.46337e-14    7.65804e-15       0.431287
              5       0.435208    5.40156e-14     1.7752e-14    5.40157e-14       0.435208    1.18484e-14     1.7752e-14    1.18484e-14       0.435208
            5.1       0.477201    5.24544e-14    2.20116e-14    5.24546e-14       0.477201    1.39157e-14    2.20116e-14    1.39158e-14       0.477201
            5.2       0.507448    4.83209e-14    3.13065e-14     4.8321e-14       0.507448    1.63444e-14    3.13066e-14    1.63444e-14       0.507448
            5.3        0.52483    5.47403e-14    3.00226e-14    5.47404e-14        0.52483    1.18509e-14    3.00227e-14    1.18508e-14        0.52483
            5.4       0.574245    6.74716e-14    2.70548e-14    6.74719e-14       0.574245    1.35016e-15    2.70549e-14    1.35008e-15       0.574245
            5.5        0.61773    6.69919e-14    2.60983e-14     6.6992e-14        0.61773    2.76974e-15    2.60983e-14    2.76966e-15        0.61773
            5.6       0.687084    6.59445e-14    3.22457e-14    6.59445e-14       0.687084      1.158e-15    3.22457e-14    1.15792e-15       0.687084
            5.7       0.726871    5.58132e-14    1.45298e-14    5.58132e-14       0.726871   -2.36692e-15    1.45298e-14     -2.367e-15       0.726871
            5.8       0.745976    5.68212e-14    1.25138e-14    5.68213e-14       0.745976    1.66534e-15    1.25138e-14     1.6651e-15       0.745976
            5.9       0.777135    5.67645e-14    1.68292e-14    5.67645e-14       0.777135    6.23046e-15    1.68292e-14    6.23022e-15       0.777135
